"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
"13",24,26,14,16,25,8,17,15,10,25,24,8,29,12,18,19,9,11,10,11,16,26,30,7,15,7,23,25,25,27,20,11,17,19,23,29,10,23,16,12,26,20,12,21,7,30,15,26,16,21,15,13,15,26,16,22,20,29,14,25,17,26,22,29,10,27,19,15,26,17
"14",12,24,10,14,12,14,16,22,25,28,27,15,13,27,28,25,16,25,13,26,13,16,23,19,10,22,10,9,17,15,28,25,20,27,18,19,23,23,25,12,28,27,20,13,12,17,30,17,15,22,17,21,15,10,16,29,20,25,24,11,7,12,25,10,10,11,24,21,14,14
"15",14,14,10,16,20,19,25,29,16,7,13,10,16,16,23,20,12,12,16,10,17,9,15,8,10,9,8,26,17,7,30,21,23,27,29,22,22,22,23,13,14,24,29,15,26,24,18,19,23,16,9,8,23,15,15,29,7,20,17,13,24,22,15,27,22,9,23,11,10,26
"16",29,20,9,17,13,14,27,26,23,13,22,7,18,8,23,25,8,14,13,10,27,26,13,22,23,26,25,17,25,8,27,8,12,19,20,16,29,28,22,21,7,28,26,23,28,13,19,8,11,28,21,26,24,13,24,25,19,8,26,23,17,28,14,8,27,20,26,14,25,8
"17",19,28,13,19,22,8,21,19,16,19,26,18,20,12,10,13,19,14,19,8,7,25,18,24,18,15,18,10,27,21,16,16,14,12,7,9,30,23,16,12,24,14,9,10,18,15,27,14,8,9,22,11,13,19,10,17,18,24,15,20,17,9,28,20,19,25,8,26,19,26
"18",16,29,15,16,15,14,19,25,26,15,24,24,8,11,29,29,29,13,21,24,17,29,20,20,7,18,21,12,14,8,11,10,12,18,25,28,12,28,22,24,14,10,12,12,7,14,25,14,22,16,7,12,28,16,23,28,21,11,12,26,19,13,25,11,30,8,10,14,18,22
"19",15,23,21,29,21,25,19,19,10,24,13,14,21,23,10,16,10,19,24,24,8,11,19,8,8,24,25,25,29,26,21,24,10,28,29,26,21,26,26,25,27,29,14,19,25,9,25,11,16,26,16,7,25,20,27,24,16,18,19,12,18,27,14,24,19,18,30,26,9,21
"20",28,28,9,11,24,26,20,28,10,10,28,22,29,28,26,23,16,22,10,11,12,10,7,26,7,7,17,19,15,12,25,11,27,23,26,21,18,18,8,9,10,14,16,18,12,18,20,28,9,16,27,20,13,7,28,19,12,28,27,14,9,27,25,11,19,22,14,20,29,8
"21",27,14,8,23,28,12,19,17,8,15,9,20,20,26,29,27,12,16,26,11,17,29,25,15,20,24,18,15,10,24,18,21,25,16,23,14,28,26,11,11,25,17,26,20,19,15,11,17,26,16,26,28,27,13,16,13,24,9,28,11,15,17,15,29,10,20,13,27,8,26
"22",25,21,28,27,16,25,15,26,11,7,17,14,28,20,14,16,14,7,7,15,25,26,22,7,24,29,24,13,19,9,15,21,22,18,23,7,21,29,7,21,11,9,11,13,17,20,12,9,7,30,22,14,24,9,11,23,27,12,11,22,19,20,13,14,13,17,29,10,28,11
"23",24,29,25,25,26,9,10,12,27,11,13,25,17,20,22,18,26,14,18,28,27,24,17,24,17,25,13,18,19,11,20,28,21,26,10,16,13,15,12,22,27,15,18,11,27,18,10,17,28,24,8,15,9,24,11,19,27,23,21,10,17,17,29,22,21,28,27,13,26,28
"24",25,29,24,18,13,7,17,10,26,15,18,16,22,20,17,23,17,22,8,9,15,21,10,27,23,10,17,12,29,7,21,18,8,8,23,26,16,25,23,18,13,27,17,8,26,20,12,14,18,13,8,28,16,23,14,24,10,7,12,8,28,24,21,16,15,24,15,12,8,23
"25",25,21,21,23,20,21,18,12,26,10,27,16,28,27,21,17,21,21,23,16,26,14,10,14,9,26,28,27,9,29,13,30,19,18,12,27,29,19,20,26,12,18,26,29,29,19,15,28,28,13,23,25,20,28,8,22,21,24,20,29,12,17,11,22,10,13,23,24,18,11
"26",17,17,27,17,13,15,28,28,16,16,17,24,19,29,16,15,18,29,21,13,26,21,15,9,13,12,20,29,13,21,26,7,17,25,28,25,15,22,24,14,30,24,23,29,14,23,13,29,11,28,29,28,17,22,14,11,30,18,12,23,28,12,10,30,14,10,19,22,28,9
"27",13,12,14,19,11,18,27,10,17,25,29,28,9,28,25,27,16,11,25,12,12,18,27,21,12,9,24,18,28,15,19,8,10,15,8,17,17,20,24,24,27,24,17,29,20,24,10,19,11,29,8,17,11,21,18,24,15,25,29,16,18,20,27,18,16,28,25,24,23,19
"28",11,20,18,27,27,24,30,10,24,22,19,8,9,26,13,19,14,29,19,19,20,10,20,11,17,21,13,20,8,18,22,10,10,13,19,10,14,21,9,22,23,12,12,25,23,10,25,8,12,20,22,16,11,8,12,25,17,10,29,18,27,11,23,8,11,10,19,20,25,28
"29",10,20,13,8,24,23,20,13,21,23,10,11,16,28,14,22,18,27,21,21,28,29,23,10,21,24,13,13,24,24,15,14,18,18,27,29,7,24,29,26,10,15,14,26,25,21,28,21,18,9,21,29,28,11,29,12,18,28,15,8,7,23,18,8,8,21,11,19,25,28
"30",17,19,28,18,21,18,23,8,17,25,29,17,23,19,21,27,19,27,14,18,12,28,12,18,8,18,16,11,9,26,18,12,21,10,20,30,10,27,14,25,26,8,12,9,14,18,17,16,24,16,24,23,15,10,26,22,17,9,8,17,21,12,20,23,9,23,12,29,12,24
"31",10,17,17,18,22,20,20,7,11,17,25,19,7,19,15,14,17,16,19,19,23,7,9,21,24,16,14,26,21,14,26,12,19,9,7,27,12,9,18,20,18,26,18,12,15,12,21,19,20,13,19,21,10,14,29,21,18,26,24,14,21,21,13,13,20,28,26,19,17,11
"32",18,21,11,17,18,19,12,14,12,22,8,27,22,25,10,18,28,26,21,9,14,18,9,15,26,24,27,30,9,17,17,10,28,28,22,19,17,12,29,10,27,21,9,17,11,20,21,29,26,13,16,25,15,29,20,20,12,28,11,8,18,14,27,18,13,9,28,29,27,21
"33",22,22,22,8,20,20,11,25,9,27,13,14,24,19,23,27,10,14,23,29,23,22,9,26,20,20,23,13,17,22,27,24,27,24,21,8,27,18,13,11,20,23,8,23,8,17,9,21,15,24,27,28,27,9,29,19,15,28,22,26,29,27,29,25,27,18,12,22,23,26
"34",17,24,23,22,21,9,7,21,24,21,30,15,28,23,29,19,11,28,21,16,11,13,8,10,30,7,15,23,19,24,28,26,12,12,12,23,24,19,19,23,27,18,14,25,13,12,12,21,11,12,16,22,19,11,9,13,17,26,22,30,13,20,15,12,21,25,16,9,12,28
"35",18,28,9,18,13,22,19,22,19,23,15,24,13,19,25,13,26,11,22,14,22,13,7,13,12,12,29,16,21,14,12,11,8,17,17,19,24,10,9,20,12,29,22,8,28,11,21,20,15,27,15,23,17,11,28,18,26,11,10,10,15,22,20,17,10,28,18,20,25,25
"36",18,18,27,22,27,24,9,30,28,17,19,25,17,25,7,22,15,21,9,24,27,21,20,23,12,15,19,20,22,14,19,27,17,15,17,21,13,19,19,11,25,11,21,16,18,10,8,14,28,17,19,24,20,14,29,12,27,27,28,22,18,10,21,19,29,27,23,21,10,16
"37",23,21,9,7,9,22,12,26,24,9,28,14,22,18,15,8,22,13,30,16,25,29,14,16,15,8,9,13,15,18,9,26,9,7,24,8,26,21,25,11,17,13,16,13,23,14,28,9,28,11,22,24,27,22,18,24,9,29,24,21,11,18,15,8,11,28,20,12,21,23
"38",23,20,19,25,19,14,24,19,16,10,9,8,11,8,14,20,24,28,23,12,18,25,8,18,7,28,22,18,17,28,16,9,19,20,17,15,11,15,13,8,15,19,10,24,9,27,8,18,17,24,13,15,9,12,18,27,20,16,23,13,17,15,21,12,12,27,11,30,30,23
"39",29,10,13,27,29,29,10,12,14,23,23,14,13,25,29,22,16,18,9,8,21,29,17,12,27,11,12,25,18,7,14,19,17,13,22,16,24,20,12,27,25,19,12,11,28,12,25,10,10,13,18,11,24,11,30,8,23,9,16,14,17,27,10,17,10,24,18,26,20,23
"40",19,19,26,27,9,24,29,18,18,24,22,8,22,22,19,23,14,12,18,18,8,20,26,29,11,26,12,19,21,12,23,14,13,28,23,30,27,26,12,14,20,27,17,25,19,20,19,8,24,10,15,19,9,14,9,25,15,9,26,9,15,10,28,9,9,29,20,14,22,10
"41",8,11,15,15,23,29,15,18,14,20,20,17,26,26,21,28,9,11,25,18,25,25,8,24,10,18,12,9,12,12,13,26,16,13,24,25,28,18,29,25,19,27,9,11,24,19,17,18,14,25,15,9,28,22,17,20,26,13,8,22,30,20,13,12,27,19,8,26,20,25
"42",7,18,18,15,14,29,12,25,21,21,16,16,8,18,22,22,11,9,29,15,25,13,28,26,28,28,20,24,8,16,15,16,12,8,19,19,29,22,14,24,25,11,18,23,21,9,28,12,29,17,14,20,23,18,28,17,21,17,12,29,27,16,25,25,11,15,30,15,8,29
"43",23,22,20,21,15,21,17,22,29,28,16,17,16,29,18,27,22,14,10,10,9,16,25,20,14,19,8,11,17,8,12,20,11,23,27,8,13,12,13,17,24,13,7,20,10,23,24,12,25,16,11,29,18,21,14,8,29,20,24,20,27,16,13,8,21,9,11,11,22,18
"44",28,17,23,14,15,15,15,30,30,25,21,12,18,27,17,29,22,15,28,8,16,22,19,23,15,14,26,20,17,16,30,21,16,13,29,19,26,21,28,8,28,11,15,13,21,11,28,17,11,17,7,28,26,14,19,16,11,12,18,27,19,14,15,7,29,11,9,20,28,10
"45",27,18,15,29,20,19,24,10,19,18,7,21,26,26,30,18,24,11,13,7,18,14,23,18,15,18,9,18,28,29,18,29,16,22,28,21,10,19,28,14,16,21,29,8,19,27,23,10,19,30,11,12,21,21,25,24,22,29,17,15,21,15,14,13,8,12,14,14,11,26
"46",21,13,15,23,8,27,26,10,26,21,14,11,16,18,18,10,30,20,10,24,27,12,11,15,11,26,10,18,8,15,14,18,23,25,11,29,28,9,28,24,19,23,11,22,29,20,19,10,7,18,21,13,28,22,17,21,16,20,17,10,26,26,15,19,12,25,25,12,20,18
"47",16,26,9,29,13,26,9,14,20,18,28,25,20,16,16,27,8,11,8,8,16,21,29,11,17,9,29,25,11,23,8,29,28,8,10,18,22,10,16,17,9,19,28,25,7,22,24,11,8,14,14,19,28,19,21,24,11,14,13,19,27,14,24,20,13,21,13,20,13,28
"48",28,17,9,9,17,8,7,27,11,21,22,22,26,26,23,28,7,16,25,12,27,14,20,24,11,16,26,22,9,23,26,13,11,26,15,9,8,10,25,9,18,11,10,28,19,17,14,28,23,23,18,18,8,20,18,29,8,16,30,27,9,15,14,8,10,17,27,28,21,16
"49",9,23,14,24,15,14,7,20,28,20,14,24,13,13,15,28,15,23,13,15,15,8,24,25,24,15,12,29,20,17,21,25,24,15,29,9,22,19,11,16,27,20,13,28,28,24,19,22,21,18,8,19,16,27,29,26,11,19,14,10,12,22,26,14,11,26,27,17,23,26
"50",29,27,7,28,12,21,22,10,21,21,12,8,10,30,15,20,11,29,13,12,12,15,26,28,21,12,27,26,25,25,17,29,11,9,15,17,15,30,15,7,10,16,10,29,21,25,28,29,23,27,13,27,25,21,27,13,23,15,28,13,19,21,8,24,10,23,26,21,14,12
"51",28,12,20,10,8,29,24,26,8,25,25,13,18,11,9,23,18,20,25,23,29,14,12,24,25,17,21,8,9,26,23,12,29,28,16,21,21,21,17,15,28,14,23,9,26,29,30,15,23,28,21,28,24,27,23,28,18,13,27,21,15,20,29,16,27,15,17,14,9,25
"52",16,7,24,17,22,15,25,19,19,8,30,24,12,24,30,24,28,23,29,11,18,20,26,12,12,8,7,14,20,15,26,8,17,16,28,17,24,24,27,15,26,14,29,10,12,21,22,14,21,22,14,17,22,22,28,26,25,15,18,20,10,27,14,23,21,19,22,22,21,22
"53",13,10,16,19,12,9,20,20,23,15,22,12,29,16,17,13,18,14,24,16,23,28,14,15,28,28,22,10,9,17,13,19,9,15,26,28,9,10,15,25,23,27,23,9,22,17,15,16,8,14,23,8,17,22,26,14,14,21,21,19,11,22,12,29,13,25,28,22,12,14
"54",28,22,11,10,8,17,29,28,14,25,11,12,11,12,14,9,15,25,22,28,9,14,20,12,17,23,30,8,13,14,23,13,10,21,27,21,12,18,15,14,27,24,8,11,13,10,25,20,7,12,22,12,29,18,16,8,27,12,15,14,7,23,25,9,17,25,9,24,16,20
"55",18,16,26,24,15,21,14,27,20,17,14,17,10,24,26,18,9,19,26,17,25,11,11,13,24,27,7,28,22,30,20,7,29,12,20,26,28,24,14,18,13,9,26,8,18,16,27,21,25,21,22,9,28,19,15,21,18,23,22,17,19,24,26,11,11,11,16,26,10,8
"56",8,16,24,16,18,14,23,29,23,8,10,13,20,19,18,28,27,17,16,26,8,26,22,19,29,9,26,12,29,21,7,12,18,14,14,25,24,19,25,26,17,15,18,17,16,10,10,23,15,10,21,25,26,15,22,25,9,16,7,26,9,11,30,12,12,18,19,10,17,13
"57",27,14,18,19,19,9,12,7,23,19,28,11,10,26,10,13,12,9,16,27,8,8,16,23,14,27,22,8,24,16,29,20,22,17,16,16,27,13,11,17,12,12,10,13,23,22,29,20,8,28,26,17,11,25,28,19,20,12,14,26,13,19,18,14,29,28,29,24,14,18
"58",27,26,20,8,21,9,20,27,28,14,8,26,8,12,29,10,14,7,9,17,16,25,19,17,15,27,10,26,24,11,21,12,27,21,26,15,23,23,10,26,26,13,30,25,26,26,12,21,29,27,13,23,17,21,8,22,23,14,9,18,15,25,23,19,21,19,23,27,30,8
"59",23,24,23,15,17,18,15,13,22,25,18,12,18,25,21,19,28,12,11,26,16,17,24,18,19,19,20,14,15,7,12,29,16,24,27,7,28,28,13,15,13,11,12,7,13,25,24,17,24,19,27,13,9,20,18,7,13,24,10,16,22,18,15,10,11,12,23,29,20,24
"60",19,16,18,17,19,12,11,30,27,15,27,12,15,11,27,18,28,22,16,25,21,29,27,26,8,12,14,28,28,19,10,30,26,18,15,10,24,29,18,10,15,9,19,12,20,20,29,30,8,18,13,13,27,21,20,25,12,12,16,22,24,9,15,17,7,12,18,16,11,21
"61",25,18,9,14,22,11,19,25,12,25,8,18,19,13,21,25,12,15,17,19,28,23,16,13,21,8,11,7,10,14,30,19,8,25,25,21,23,11,21,23,20,13,16,29,24,29,8,18,29,25,28,27,9,17,30,14,16,21,20,23,30,9,17,27,9,15,26,29,25,11
"62",11,16,18,20,22,15,10,8,27,26,8,23,24,8,8,23,9,19,22,12,10,17,20,26,22,13,28,18,25,13,17,17,8,19,19,11,22,10,17,21,11,9,10,26,19,8,22,25,13,29,20,11,9,16,10,13,22,9,9,8,29,24,29,7,18,17,25,24,18,29
"63",9,17,8,24,10,25,11,25,13,11,18,25,13,20,25,8,28,8,20,16,24,24,26,21,20,19,24,20,20,23,25,12,27,21,17,25,17,18,13,23,26,12,12,13,7,12,14,24,13,17,15,13,9,9,21,15,11,21,17,9,10,28,8,25,29,29,16,18,21,27
"64",21,19,15,25,27,14,22,24,17,14,20,9,17,29,28,25,22,29,12,19,11,11,14,24,28,27,27,10,26,11,12,7,24,26,19,15,25,8,21,20,22,27,17,14,24,17,21,17,9,12,24,15,21,24,10,19,22,8,14,16,21,25,26,28,14,22,27,14,23,9
"65",16,25,22,7,26,26,22,24,22,23,12,27,13,14,12,27,21,25,15,26,16,20,19,8,15,8,24,29,14,23,29,27,19,15,15,23,30,28,28,9,7,11,20,29,9,21,8,22,14,24,13,22,10,27,18,10,29,8,10,18,21,16,25,26,12,28,14,23,9,27
"66",16,25,14,11,26,9,14,9,29,29,17,9,14,13,25,22,20,8,21,27,14,18,24,17,24,22,10,27,15,13,19,29,11,26,13,12,27,8,29,14,15,23,14,7,23,26,28,22,20,24,13,24,13,29,11,14,8,21,9,7,18,9,9,20,8,14,10,12,16,22
"67",13,11,10,8,24,12,11,17,30,12,21,29,18,9,12,30,18,8,24,20,19,25,15,20,26,18,7,20,12,12,22,10,26,27,20,10,9,29,28,19,25,13,25,19,27,11,10,15,26,11,25,10,15,28,29,11,13,8,24,28,17,9,11,17,11,25,15,15,29,16
"68",21,29,16,20,11,17,11,18,20,26,29,13,13,28,21,16,15,23,20,11,23,18,26,19,12,20,19,22,25,14,27,29,12,28,10,8,12,13,22,14,16,9,21,14,30,15,29,19,26,25,27,23,28,27,29,26,22,28,29,13,17,19,8,13,18,10,27,8,17,25
"69",23,10,10,10,14,29,17,15,8,26,17,19,7,19,14,29,29,23,23,22,29,8,18,28,10,12,22,7,10,7,11,16,23,25,30,16,27,14,28,8,11,21,28,16,14,19,24,23,9,10,21,27,13,15,29,15,18,20,16,19,26,15,15,9,13,15,17,13,19,17
"70",12,24,22,16,23,23,25,24,20,22,10,24,18,11,28,17,27,18,18,22,17,29,22,19,25,21,27,10,9,14,11,18,20,13,19,9,15,24,15,20,21,10,18,20,29,28,27,25,22,28,9,13,25,18,23,28,12,12,25,12,26,13,23,9,23,23,22,24,25,22
